Question,Answer,Link
which advisor do i see for xx?,You may find an explanation of who to see for what at our Advising webpage.,
can i do a double major?,"Students may choose to double major in two departments. Check with each of your major departments to be sure it is allowable, and to seek advising about which courses to take. More information about double majors may be found in the SJSU catalog.",
how can i prepare for my advising appointment?,"Our Advising webpage has a section titled ""Preparing for my advising appointment"" is devoted to helping students prepare for their advising appointment to get the most out of advising at SJSU.",
how do i apply for graduation?,"Once you have completed 85 semester units, undergraduates may begin the graduation application process by obtaining a major/minor forms from their department(s). Also download the Graduation Application at the Office of the Registrar's form webpage. These forms must be submitted at Window R in the Student Services Center unless your are changing your major. If you are petitioning to change a major or add a minor, it is best to attach the graduation application to that petition with sealed major/minor forms to Academic Advising and Retention Services so that the whole packet can go to the Registrar's Office together.",
how do i choose a major?,"You may obtain help choosing a major from the Career Center in the Administration Building on campus. Career Consultants are on hand to help you with your career planning and to help you find the best major for your personal situation. The Career Center also provides online programs to help you choose a major. Also, most college success centers can provide additional information regarding changing to a major in their college.",
how do i declare or switch my major or minor?,"You may download the “Change of Major or Minor” form at the Office of the Registrar's form webpage. You must take this form to your major or minor department to have it approved and signed, and then you must return the form as noted on the bottom of the form. If you are making a change after earning 90 units, you will need to provide at least a list of classes from your current program and your proposed program.",
what classes do i need to take for xx major?,You must meet with your major advisor to determine which classes to take for your major. Either call or go to your department to find who the advisor is for your major. You may also use your degree roadmap and your My Progress report to see what is required and what you have completed. Please see the MyRoadmap link at the top of the Advising Hub homepage to find the roadmap for your major.,
which advisor do i see for xx?,You may find an explanation of who to see for what at our Advising .,
are there any resources to help me pay for classes?,The Financial Aid and Scholarship Office has great resources for students seeking help to pay for schooling and life expenses while a student.,
how do i transfer from sjsu to another college or university?,It would be best to ask the other college or university what requirements and admissions processes they have for transfer students. They will probably ask for official transcripts from SJSU.,
"i already have a degree, can i still take classes at sjsu without pursuing a degree?","Open University is a way to attend San José State University if you are not interested in a degree program at thistime, but want to take one or more classes.",
i have the equivalent of a bachelor's degree from another country. can i enroll at sjsu as a graduate student?,I have the equivalent of a Bachelor's degree from another country. Can I enroll at SJSU as a graduate student?,
my gpa is showing up incorrectly on mysjsu - how can i fix this?,An Academic Advisor at the Academic Advising & Retention Services can help you figure out what the problem is with your GPA and how to remedy the situation. Visit the Academic Advising and Retention Services website to find out how to make an appointment.,
where can i find a form or petition for xx?,Petitions are found on various websites. See our Petitions page for links to the most commonly used forms.,
where do i turn in xx form/petition?,"Pay attention to the fine print and/or instructions on each of the forms/petitions. They will tell you where to turn in your documents. Many of the forms will be turned into the Office of the Registrar, but make sure you look on the form itself to find out where to get signatures and where to finally turn it in for processing.",
are there any resources to help me pay for classes?,The Financial Aid and Scholarship Office has great resources for students seeking help to pay for schooling and life expenses while a student.,
can i do a double major?,"Students may choose to double major in two departments. Check with each of your major departments to be sure it is allowable, and to seek advising about which courses to take. More information about double majors may be found in the SJSU catalog.",
can i take ge courses at another institution?,"You may take Core GE courses at several other higher education institutions by searching for equivalent coursework at the SJSU Articulation GE website. You may count a maximum of 70 units from a community college towards your SJSU degree. For more information, please speak to an advisor at the Academic Advising & Retention Services. You must submit your official transcripts to SJSU after taking your course(s). We recommend not taking more than 12-16 units total if you take courses elsewhere while attending SJSU. Learn more about cross and concurrent enrollment at the Office of the Registrar's Visitor and Concurrent Enrollment webpage.",
how can i get a copy of my transcripts?,"You may print out a transcript request form at the Office of the Registrar's form webpage. You may mail, fax or drop off your request in person at line R in the Student Services Center.",
how can i get help or tutoring for my classes?,Tutoring is available in the Peer Connections for many different courses and subjects each semester. They are located at the Student Services Center. You can also check with your major department to see if there is any other tutoring available. Your instructors' office hours are another place to obtain help with course material.,
how do i apply for graduation?,"Once you have completed 85 semester units, undergraduates may begin the graduation application process by obtaining a major/minor forms from their department(s). Also download the Graduation Application at the Office of the Registrar's form webpage. These forms must be submitted at Window R in the Student Services Center unless your are changing your major. If you are petitioning to change a major or add a minor, it is best to attach the graduation application to that petition with sealed major/minor forms to Academic Advising and Retention Services so that the whole packet can go to the Registrar's Office together.",
how do i choose a major?,You may obtain help choosing a major from the Career Center in the Administration Building. Career Consultants are on hand to help you with your career planning and to help you find the best major for your personal situation.,
how do i declare or switch my major or minor?,"ou may download the “Change of Major or Minor” form at the Office of the Registrar's form webpage. You must take this form to your major or minor department to have it approved and signed, and then you must return the form at line R in the Student Services Center.",
"how do i know which classes, and how many, to take my first semester?","tudents work on their first semester schedule during the mandatory Frosh Orientation. New students may take no more than 16 units their first semester. Transfer students are required to attend the Transfer Orientation, at which point they will meet with GE and major advisors.",
how do i transfer classes to sjsu from other accredited institutions?,"Students who have taken courses at another accredited institution of higher education should have official transcripts sent from the college or university to SJSU. Check their website to find out how to order official transcripts. Here is the address to have the transcripts sent to: 

Office of the Undergraduate Admissions 
San Jose State University 
One Washington Square 
San Jose, CA 95192-0016",
how do i transfer from sjsu to another college or university?,It would be best to ask the other college or university what requirements and admissions processes they have for transfer students. They will probably ask for official transcripts from SJSU.,
how long does it take for my transferred classes to show up on mysjsu?,Classes transferred to SJSU from another institution may take a semester to show up in your degree progress report on your MySJSU account. You may obtain an unofficial evaluation from Academic Advising & Retention Services after the add/drop period at the beginning of the semester. Call 408-924-2129 for more information.,
how many classes do i have to take to be considered full time?,"A full time undergraduate student generally takes a minimum of 12 units per semester. This amount may be different for graduate or international students, or students receiving insurance based on enrollment, or Veteran's benefits. Check with the outside source to be sure of their definition of full time.",
"how many credits do i need to be a frosh, sophomore, junior or senior?","Frosh - 0 to 29.5 units completed 

Sophomore - 30 to 59.5 units completed 

Junior - 60 to 89.5 units completed 

Senior - 90 or more units completed",
how much time do i need to study for my classes?,"Depending on the course subject, the general rule of thumb is to study 2x as many hours as there are units, per week for each course. If you take a 3 unit course, you most likely will need to study at least 6 hours per week for that course. If you take 15 units per semester, you would need to study for at least 30 hours per week. For science, math and engineering classes, you may well need to plan for 3x as many hours as there are units.",
"i already have a degree, can i still take classes at sjsu without pursuing a degree?","Open University is a way to attend San José State University if you are not interested in a degree program at thistime, but want to take one or more classes.",
"i am taking 14 units, but 8 of them are remedial (development) classes, am i still considered ""full time""?","Although remedial (or developmental) courses are not counted towards your degree, they are classes counted towards units used to determine full time status for financial aid purposes. For more information about remediation, please visit our Developmental Studies website.",
"i can't login to mysjsu account, or something is not showing up. who do i contact?",Help with your mySJSU account may be obtained from the IT Help Desk.,
my gpa is showing up incorrectly on mysjsu - how can i fix this?,An Academic Advisor at the Academic Advising & Retention Services can help you figure out what the problem is with your GPA and how to remedy the situation. Visit the Academic Advising & Retention Services webpage to find out how to make an appointment.,
what do i have to do to take a semester or longer off from sjsu?,"If you take only ONE semester off from SJSU, you do not have to do anything to be able to register for classes the next semester. 

If you take more than one semester off, you must reapply to SJSU. In certain circumstances you can take a planned leave of absence. For more information, refer to the SJSU catalog, or download the ""Leave Request Form"" from the Office of the Registrar's form webpage.",
how can i lift the hold on my account?,Pay careful attention to the message you receive about your hold and be sure to read the information in the Details link. The message should indicate which office you must contact in order to lift your hold.,
what do i do if i'm on probation?,"You are likely to have a hold on your account if you have been placed on probation. You will need to follow the instructions in the mySJSU message you receive once the hold has been placed. In many cases, you will need to attend an advising appointment or a workshop. We recommend you see an Educational Counselor in Counseling Services to obtain the knowledge and skills necessary to become more successful at SJSU.",
what do i do if i've been disqualified?,"If you have been disqualified, and you would like to return to SJSU, you must reapply for admission in the appropriate application period and apply for reinstatement. Visit the Reinstatement page for more information. If you are Undeclared, you would need to meet with an academic advisor in Academic Advising and Retention Services (AARS). More information can be found in the SJSU Catalog.",
what resources are available to me to help me be a successful student?,There is an abundance of resources to help you be a successful student at SJSU. You may view a listing of many resources on campus on our Student Resource webpage.,
where can i find a form or petition for xx?,"Most forms and petitions can be found at the following two webpages: 

The Office of the Registrar's Form Webpage 

Undergraduate Studies' Petition Webpage 

To find forms and petitions related to your major, please visit your major advisor and/or your major department website.",
where do i turn in xx form/petition?,"Pay attention to the fine print and/or instructions on each of the forms/petitions. They will tell you where to turn in your documents. Many of the forms will be turned into the Office of the Registrar, but make sure you look on the form itself to find out where to get signatures and where to finally turn it in for processing.",
what are the office hours of the bursar's office?,"Our days and hours of operation are posted in the lower right corner of our Home Page. 

Note: On Mondays through Thursdays, Cashiering and Tower Card windows close 1/2-hour earlier than the front desk of the Bursar's Office to allow for end of day processing.",
when is the last day to add or drop a class?,See our calendar for important dates including the last day to add a class or last day to drop a class.,
how do i add a class if i'm an international & extended studies student or an OU student?,How do I add a class if I'm an International & Extended Studies student or an Open University student?,
how can i get information about an short-term emergency loan?,"After you have registered for class, see Short-Term Loans",
can you explain what the campus fees are?,"The following campus fees are mandatory. Summer Session campus fees vary from the fees listed above. For details, please visit Summer Registration Fees. 

Health Center Facility Fee 
This fee supports the operation of the student Health Center, lease, construction, and maintenance. 

Student Success, Excellence and Technology (SSET) Fee 
For more information refer to: 
Student Success, Excellence and Technology Fee (SSETF) Information 

SSETF – IRA 

This fee supports activities that fall under the definition of and statutes related to Instructionally Related Activities (IRA) in Title 5 and the California Education code, including Athletics. 

SSETF - Course 

This fee will enhance support for instructional materials and methods used in the delivery of instruction. 

SSETF - Student Success 

This fee shall provide enhanced and comprehensive support for Student Academic Success Services to improve graduation and retention rates of all students (including under-represented minority students) by implementing a variety of evidence-based, best practice student support and High Impact Practice (HIP) programs. This additional funding to support student success and excellence will be imperative in order to address SJSU's retention and graduation rates which currently lag slightly below the system average. Additionally, the SSET Student Success Fee shall be used to deepen and strengthen student learning by providing innovative and effective technology-enabled learning experiences for students. 

Student Association Fee 
Supports student body organizations established for the purpose of providing essential activities closely related to regular instruction programs. Examples of these activities are student government, athletic, and cultural programs. 
Provides for the unlimited use of Santa Clara County transit services like buses and Light Rail. 
Supports the operation of the Child Care Center on campus that provides available services to children of eligible enrolled students. 
Supports the operation of recreational activities like intramural sports, aerobic classes and other organized adventure classes. 
Student Union Fee 
This fee supports the financing and operation of the Event Center, Student Union building, and Student Recreation and Aquatic Center. 

Health Center Operations Fee 
This fee, which is mandatory for all students at most campuses, supports the delivery of services to students at the campus. 

Document Fee 
This fee covers the issuance of the student identification card, transcripts, and commencement.",
what is the student involvement and representation fee (sirf)?,"The CSU Board of Trustees established this voluntary student fee which went into effect in the fall 2015 term. This is charged to all students in the fall and spring semesters, unless they choose to opt out of the fee, which can be done via the student portal. (Students must opt out each semester.) For more information, please visit the California State Student Association (CSSA) website.",
what is an electronic refund (direct deposit)?,"With electronic refunds, refunds from SJSU and Financial Aid disbursements are sent electronically to your bank rather than mailing a check to you. We encourage all students to enroll in Direct Deposit under the Finance section of MySJSU. With Direct Deposit, you receive all your money up to 7 days faster than a paper check. For more information, see Electronic Refunds (Direct Deposit).",
i am covered by my employer's or parent's health plan. do i need to pay the health service fee?,"Yes. Students still need to pay the health service fee, even if they are covered by another health insurance plan.",
do i need to pay the health service fee if i won't ever use it?,"Yes. Students still need to pay the health service fee, even if they do not use the Student Health Center.",
how much are the registration fees?,"For a detailed list, see Tuition & Other Fees.",
whom should i make my check payable to?,"When paying by check, please make it payable to SJSU. More details are available under Check Payments.",
"when paying by check, please make it payable to sjsu. more details are available under check payments.","Yes, all campus fees are mandatory with the exception of the Student Involvement and Representation Fee (SIRF), which is optional as explained above.",
where do i get a tower card ?,"Tower cards are available at the Tower Card windows 6-9 located in the Student Services Center. Present your valid State Driver's License, DMV State ID, Passport, or other government-issued photo ID, at any Tower Card Window. A plastic cardholder will be issued to hold your Tower Card. For transit information, visit Associated Students.",
how much does a tower card cost?,"The first Tower Card is free, except for Open University and Special Session students. Open University and Special Session students may purchase a Tower ID Card for $5.00 only if they have paid the Student Association Fee. If your Tower Card is lost, stolen or damaged, replacement cost is $5.00. Payment for the Tower Card fee is cash only.",
where do i report a lost/stolen tower card?,Contact the Bursar's Office by e-mail at bursar@sjsu.edu or by phone at 408-924-1601 or in person at the Tower Card windows located in the Student Services Center.,
how and when will i get my eco pass clipper card?,Matriculated SJSU students who pay the semester campus fees receive a Clipper Card pre-loaded with the Eco Pass. The SJSU Tower Card ID is required to receive and use the Eco Pass Clipper card. For more information see Eco Pass Clipper Overview.,
what are gold points?,"Spartan Gold Points are pre-deposited dollars in your individual account, which enable you to purchase various goods and services on campus. These points are accessed with your SJSU Tower Card.",
how do i get gold points?,"You may activate your account several ways: 

By logging on to Gold Points 
By visiting the Tower Card windows in the Student Services Center (SSC) 
By phoning 408-924-1885 to get information 
Using the add-value stations the Martin Luther King Jr. Library (cash only)",
where can i use my gold points?,"You can use your Gold Points account to pay for purchases in: 

Spartan Bookstore 
All retail dining facilities 
Dr. Martin Luther King Jr. Library Café 
Public-use printers in the Dr. Martin Luther King Jr. Library 
You must use your Gold Points account (no cash) to pay for purchases in: 

Public-use printers in certain computer labs across Campus",
how can i get codes for classroom door locks?,"For ENG rooms 247, 285/7 and 189 contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu. 

For rooms maintained by a department, please contact the department’s administrative assistant. 

For ENG labs 333, 335, 337, 339, 390-394, 407, and IS 103—all full-time faculty and staff have lab access codes issued to them by ECS. Your department admin should have a copy of those codes, or you can contact Scott Pham, 408-924-4020 or scott.pham@sjsu.edu. Part-time faculty and TAs who teach in these labs should contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu for a temporary access code. 

Note: please tell the person you contact the reason for your room access request.",
how do i make a classroom change request?,"If you need to change the room your class is in, please contact your department administrative assistant to prepare and submit the necessary request forms.",
who do i contact about one-time classroom reservations?,"If you need to make a one-time classroom reservation for your class or as a student club advisor, please contact your department administrative assistant to prepare and submit necessary request forms.",
who do i contact about conference/event room reservations?,"Some departments have their own conference rooms. Please check with your department administrative assistant first. ENG 247 and 285/7 are available for faculty and staff to request by contacting Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu. Please contact Sandy at least 72 hours before the event to check for availability. 

If this is for a non-SJSU group (e.g., company site visit, academic testing company, etc.), please contact Cynthia Soto, 408-924-1927 or cynthia.soto@sjsu.edu at least 72 hours before the event to reserve a room, and be sure to contact Marla Perez, 408-924-2159 or marla.perez@sjsu.edu, or the staff at University Risk and Compliance to get insurance for off-campus visitors.",
how do i reserve the engineering auditorium (eng 189)?,"For one-time, non-classroom usage of the Engineering Auditorium, contact Sandy Jacobs, 408-924-3806 or sandra.jacobs@sjsu.edu at least 72 hours before your event to check for availability. Only SJSU faculty and staff may request to use this room.",
who do i contact about classroom internet connection?,"If you are unable to use the network during business hours (Monday - Friday, 8:00 am - 5:00 pm), contact Lee Andersen, 408-924-4134 or lee.andersen@sjsu.edu.",
how can i get support for classroom computers or overhead projectors?,"Contact your department technician about malfunctioning computers or overhead projectors. For problems with the projectors in ENG 189 or 285/7 contact Lee Andersen, 408-924-4134 or lee.andersen@sjsu.edu.",
how do i report a problem with engineering room heating or air conditioning?,Place a service request on FD&O’s TMA website. FD&O will email you once your request has been approved for work. You can check on the status of your request on the site as well. Please let your department administrative assistant know that you’ve made the request.,
"how do i report an immediate facilities problem (e.g., water leak, backed-up plumbing, electrical problem)?","Call the FD&O help desk 408-924-1990. Be prepared to give your name, phone number, and the room number or building location of the problem.",
"what are the differences between the bs in computer science, bs in CMPE, and bs in SE programs?","Conventionally, Computer Engineering focuses on the combination of hardware and systems software (embedded systems, mobile devices), Computer Science focuses on programming and theory (formal languages, programming paradigms, etc.), and Software Engineering focuses on programming and methodology (analysis, design, testing, maintenance, cost estimation, project management, etc.). 
All three programs overlap. For example, all three programs cover programming, methodology, hardware, and systems software, but in different amounts. 
Readers can get a quick overview of the three programs at SJSU from the following links: 


The BS Software Engineering Program 
The BS Computer Science program 
The BS Computer Engineering program 
For the Masters programs, please see MS SE, MS CMPE, MS CS",
"i have taken chem 1a (or equivalent) and passed it, do i need to take biol 10?","No. CHEM 1A along with PHYS 50 and PHYS 51 will satisfy GE Area B2. All should be C or better. 
Note: Students may need to submit an Intensive Science Petition to receive credit for GE Area B2. Please consult with your academic advisor.",
"i am a high school student, and i am interested in the cme undergraduate program. where can i find information on admission requirements?",Here is the link: http://www.sjsu.edu/freshmanadmissions/admission-requirements/,
i am a transfer student and i would like to know the admission requirements. where can i find relevant information?,Here is the link http://www.sjsu.edu/transferadmissions/admission-requirements/,
where can i get a permission code?,"Permission Codes, or Class Permission Numbers, are required to add a course that
                        indicates Department Consent or Instructor Consent. These codes can be obtained from
                        the appropriate department office or instructor. A permission code is needed after
                        open registration has ended.
                     ",
how many cr/ncr courses can i take?,"Of the units completed for your master's program, 60 percent must be letter-graded
                        coursework. The other 40 percent may be credit/no-credit courses.
                     ",
can i take undergraduate classes as a graduate student?,"Yes, graduate students may take undergraduate classes. However, lower division
                        (freshman and sophomore) courses numbered 1-99 cannot be used for graduate degree
                        creditandare not included in the GPA computation. For additional assistance and
                        inquires about registration in undergraduate classes, please visit the Registrar.
                     ",/registrar/
what is considered a passing grade for graduate students?,"You must complete all courses in your graduate program with grades of A, B, C or
                           CR. Grades of C-, D, F, U, or NC in any course are considered to be unsatisfactory.
                           Any unsatisfactory grades will remain on the transcript and program which will continue
                           to be computed in your grade point averages at SJSU. If the course with the unsatisfactory
                           grade is a core course, you must retake the course to earn a better grade. If the course with the unsatisfactory
                           grade was an elective course, you must petition through your academic advisor to add another course to the graduate
                           degree program with the unit value equivalent to that of the course in which the unsatisfactory
                           grade was received. All students must have a graduate career cumulative GPA of 3.0
                           or above to receive a graduate degree from this university.",
how do i drop a course from a previous semester?,"You will need to fill out a Retroactive Course Drop form. Retroactive Graduate
                        Petitions also include: Retroactive Add, Drop, or Retroactive Withdrawal. These petitions
                        are available at the Graduate Admissions and Program Evaluations front counter in
                        the Student Services Center. Registrar Services staff process these forms, if you
                        have any questions please contact the Registrar.
                     ",/registrar/
can i skip a semester?,"You may take one semester off without reapplying to the University. Summer is not
                        considered a semester (example: If you do not register in the Spring, you would need
                        to register the following Fall to maintain your enrollment).
                     ",
how can i apply for a leave of absence?,"Leave of absences are handled by the Registrar's office located in the Student
                        Service Center; forms can be obtained from the Registrar.
                     ",/registrar/forms/
how do i drop out from the graduate program?,"The first thing you should do to sever your ties with the University is contact
                        your graduate advisor and let him or her know that you have chosen to leave their
                        program. If you are currently registered for classes, you will need to submit a withdrawal
                        form. The withdrawal form can be obtained from the Registrar located in the Student Services Center.
                     ",/registrar/forms/
i have been disqualified from the university. what do i do now?,"For more information regarding the reinstatement of disqualified graduate students,
                        please refer to the Registrar's office. Students who wish to be reinstated following disqualification must see their
                        graduate advisor to develop a program of study appropriate to their proposed major
                        for coursework to be taken through San Jos√© State University Extended Studies, Winter
                        Session, or Open University. Courses graded CR/NC are not applicable for reinstatement
                        purposes. The program of study must consist of a minimum of six (6) units per semester
                        of coursework and should contain only upper division (100-level) courses directly
                        related to the student's major. A disqualified student is not permitted to enroll
                        in graduate (200-level) courses. Neither extension courses taken from another institution,
                        nor 400-level courses taken from San Jos√© State University Extended Studies, nor lower-division
                        courses taken from this or any other institution, are appropriate for reinstatement
                        purposes for a post-baccalaureate or graduate student.
                     ",/registrar/
"i am in a graduate program already and would like to switch to another program;
                           how is that possible?","Master's or credential students who are active in a graduate program in good academic
                        standing and would like to switch to another program, changing their degree objective,
                        must submit a Change of Program Application to Graduate Admissions and Program Evaluations. This request is evaluated by Graduate
                        Admissions and Programs Evaluations and sent to the graduate advisor for their final
                        decision. All change of programs have to be approved before you can start a new program.
                        The Change ofProgram final decision will be sent to you in the mail.
                     ",/gape/docs/Application%20For%20Change%20Graduate%20Major%203.17.16.pdf
what is the candidacy form?,"This is your proposed program. The candidacy lists the courses you have already
                        completed or propose to complete in order to graduate. Please note you must maintain a grade point average of 3.00 in your candidacy courses.
                        You can download the candidacy form from our forms page.
                     ",/gape/forms/
when should i apply for candidacy?,"You may apply for candidacy after you have taken nine graded units of coursework
                        within the degree program, have met the Graduate Writing Requirement, and are in Clear
                        Classified standing. Please contact your graduate advisor for more details about the candidacy submission.
                        The graduate advisor will need to review and sign your candidacy before submitting it to Graduate Admissions and Program Evaluations
                     ",
what is the competency in written english and how do i complete it?,"University Policy requires that all graduate students demonstrate competency in written
                              English. Graduate students must satisfy the Graduation Writing Assessment Requirement
                              (GWAR) before advancement to candidacy. View theApproved GWAR Course ListandCatalog GWAR Informationfor more details.",/cgs/current-students/policies/index.html http://info.sjsu.edu/web-dbgen/narr/schedules/rec-21180.21325.21369.html
how do i change my status from conditional classified to classified standing?,"Change of classification (from conditional to classified standing) will require
                        approval from your Graduate Advisor prior to submitting the Change of Classification in Master's Program form to the Graduate Admissions and Program Evaluations Office in the Student Services
                        Center.
                     ",/gape/docs/Change%20of%20Classificaton%20in%20Graduate%20Program%2003.17.16.pdf
</strong><strong>how do i apply to graduate?,"Students wishing to graduate must apply through their MySJSU accountby the appropriate
                        deadline posted on our Current Students Page. Students may only apply for graduation once they have advanced to candidacy
                        and received a MySJSU messagewith instructions on how to apply online.
                     ",/gape/current_students/deadlines/
"&nbsp;i have received the message that allows me to apply&nbsp;online for graduation. where
                           can i find the tutorial for instructions?",You can access the tutotorialhere.,/gape/docs/Online%20Graduation%20Application%20Instructions.pdf
can i apply for graduation past the deadline?,"Graduate Admissions and Program Evaluations will not accept graduation applications
                        past the posted deadline.
                     ",
what is the verification of culminating experience form?,"Depending upon the department, the culminating experience requirement may be satisfied in a number of ways. Some departments have courses in which you satisfy the culminating experience requirement. When you pass the course, you have met the requirement. Some departments require completion of a master's thesis or project, while in other departments the requirement is met through a final examination. Usually departments submit this
form to our office directly and no student intervention is needed. However, it is a good idea for students to follow up with their advisor to make sure that the Verification of Culminating Experience form has been submitted if this form is utilized by the department to document completion of the culminating experience requirement.
                     ",
when will my degree be granted or posted on my transcript?,"You can check your status on My SJSU under ""Other Indicators"" for a Graduation Awarded status message. Our graduation
                        processing timeline is:Spring- late June - early July Fall- Mid January - early February Summer- Mid September - early October
                     ",http://my.sjsu.edu/
when is commencement?,"SJSU holds two Commencement ceremonies per year: May and December. Ceremonies
                        are held by college. For more information on Ceremony Schedules, Guest Tickets, Regalia,
                        Intent to Participate: see: http ://www.sjsu.edu/commencement",/commencement
where and when will my diploma be sent?,"Your diploma will be sent to the diploma address we have on record. You may view
                        or change your diploma address on My SJSU up until your graduation date. Please keep your diploma address current since the
                        post office will not forward diplomas to your new address. The schedule for sending
                        diplomas is the same as the schedule for granting your degree.
                     ",http://my.sjsu.edu/
how do i order another copy of my diploma?,"To order another diploma copy, submit your request in writing to Graduate Admissions
                        and Program Evaluations. Your request must include your name (also the name on the
                        diploma if it has changed), SJSU ID, the date you graduated and the degree that you
                        received. You must pay a $10.00 fee to the bursar's office before submitting your
                        request. If you have questions, contact the Evaluator for your program.
                     ",/gape/about_us/staff/
what if i don't graduate when i was supposed to?,"If you do not complete the graduation requirements in the semester that you originally
                        identified on your graduation application, you may reactivate your graduation for
                        a future date. You will need to complete aGraduation Date Change Request and pay
                        a $10.00 fee. Instructions for the date change request can be found here. You must make this requestwithin the same published deadlines as the Application for Award of Master's Degree.
                     ",/gape/forms/ /gape/current_students/deadlines/
do i have a time limit to complete my master's degree?,"Section 40510(b)(2), California Code of Regulations, Title 5, Education, requires that courses for completed master's degree programs be no older than seven years at the time of the awarding of the degree. This means that no more than seven years may elapse between the time the candidate completes the first course in his/her program and the date the candidate actually completes (not registers for) the last item on the program and completes the requirements for the degree. If, after reading the catalog informationon the seven-year time limit, you still have questions regarding the time to complete your degree, email/call the Evaluator listed for your program.
                     ",http://info.sjsu.edu/web-dbgen/narr/schedules/rec-21180.21325.21388.html /gape/about_us/staff/
i work during the day. can i obtain the msse degree while working?,"Yes—the graduate courses are offered in the late afternoons and evenings. You have up to 7 years (!) to finish the degree, although we naturally don't recommend that you actually take that long. Many of our students are professionals who obtain the MS degree while working full-time",http://www.sjsu.edu/msse/faq/about/index.html
i have been in california for x months/years. am i entitled to in-state tuition?,"I don't know. This information should be obtained from the online catalog at http://info.sjsu.edu/home/catalog.html, the SJSU web site at http://www.sjsu.edu, or Graduate Student Services.",http://www.sjsu.edu/msse/faq/about/index.html
i am an F1 student. is there additional information available?,The International Programs and Student Services office has an excellent website at http://www.sjsu.edu/depts/ipss/ .,http://www.sjsu.edu/msse/faq/about/index.html
what form of financial assistance is available from the department?,"Unfortunately, financial assistance is very limited. The department does not offer full scholarships or tuition waivers. A limited number of teaching associate, grader and lab assistant positions are available. However, these positions are generally not open to incoming students. The salary for these positions is not high, and you should not rely on them for financial support. You may also be able to obtain more information from the Financial Aid department at http://www.sjsu.edu/faso.",http://www.sjsu.edu/msse/faq/about/index.html
"i am an F1 student and need to be enrolled in a degree program to obtain a student visa. however, i do not qualify for admission to the msse program. how can i take the courses that i need to prepare myself?","You may consider enrolling in the BS in Software Engineering (BSSE) program. If you already have another college degree, the ""Second Baccalaureate"" program may be appropriate for you. Note that San Jose State University is currently not offering admissions for Second Bachelors programs.",http://www.sjsu.edu/msse/faq/about/index.html
"what does it mean to enroll as a ""second bachelor student""?","Second bachelor students are students that possess a bachelors degree in another field. When pursuing a second bachelors degree, these students are exempt from the core GE courses—except that they have to take US and California history and government (usually 6 units) if they haven't already. They are expected to satisfy all of the major requirements. The Software Engineering program allows courses taken elsewhere to count just as for ordinary transfer students. Applications are made for an undergraduate degree at http://csumentor.org (please indicate the current degree you possess). Foreign students are required to have a minimum TOEFL score of 550 (or 213 computer based). For more information on the BSSE degree, please see http://www.sjsu.edu/bsse/.",http://www.sjsu.edu/msse/faq/about/index.html
"what is ""OU""?","""Open University"" at SJSU allows individuals that are not registered in a degree program to take university courses. There are a number of restrictions. 

There must be space available in the course after all degree program students have registered 
The instructor must agree to admit the student 
The student must fulfill all prerequisites to the course 
Students who have been denied admission in a graduate program cannot register for graduate courses 
Open University classes are not available to students that intend to apply for a degree program. Note also that open university courses must be transferred into a degree program. Requests to transfer open university courses to the MS Software Engineering degree program will be denied if an application to the MS Software Engineering program was submitted while the course was in progress.",http://www.sjsu.edu/msse/faq/about/index.html
i concluded that i need to take quite a few courses before i am ready to apply for the msse program. can you advise me what courses i should take?,"If you need ""quite a few courses"", your best bet is to pursue a ""Second Bachelors"" degree. An undergraduate advisor for the BSSE program can then best help you chose courses.",http://www.sjsu.edu/msse/faq/about/index.html
sjsu academic calendar,Link to the pdf,https://www.sjsu.edu/provost/academic_affairs/resources/Academic_Calendars/Academic_Calendar%20AY2020-21_final.pdf
sjsu registrar calendar,Link to the pdf,https://www.sjsu.edu/registrar/calendar/
how do i begin my application?,Please follow the MS Software Engineering application submission process. This web page will answer many of your questions about submitting an application. You should also review the information provided by Graduate Admissions and Program Evaluations (GAPE) at http://www.sjsu.edu/gape/prospective_students/.,https://sjsu.edu/msse/faq/applying/index.html
what are the application deadlines?,University admission deadlines are listed at http://www.sjsu.edu/gape/prospective_students/deadlines/,https://sjsu.edu/msse/faq/applying/index.html
what is the GAPE (gape) office?,"Applications are evaluated in a two-step process, first by the GAPE office then the department. The GAPE office administers all graduate admissions. It checks that your applications fulfill the minimum university criteria for admission. It checks your transcripts, degree certificates, TOEFL scores, visa status, and financial information. Currently, GAPE requires an evaluation of your transcripts by World Education Services (WES). Visit the GAPE web site for more information about WES evaluation for SJSU applications.
Once Graduate Studies is satisfied that you are qualified to join the university, then it forwards your file to the department. This step is called ""Referred to Department"". During this step a Computer Engineering department advisor will evaluate your likelyhood of success in the MS Software Engineering program and make a decision about whether to extend admission to you.",https://sjsu.edu/msse/faq/applying/index.html
